"time","Are.N","Ace.N","Are.S","Ace.S","S","RelPrice_N","RelLabor_N","Labor.re_N","Price.re_N","Agg.demand.re.tech_N","Profits.re_N","Yre_N","sre_N","Labor.ce_N","Price.ce_N","Agg.demand.ce.tech_N","Profits.ce_N","Yce_N","sce_N","Y_N","RelPrice_S","RelLabor_S","Labor.re_S","Price.re_S","Agg.demand.re.tech_S","Profits.re_S","Yre_S","sre_S","Labor.ce_S","Price.ce_S","Agg.demand.ce.tech_S","Profits.ce_S","Yce_S","sce_S","Y_S","Delta.Temp","Gamma.re.t_N","Gamma.re.t_S","Gamma.ce.t_N","Gamma.ce.t_S","L_N","L_S","Consumption_N","Consumption_S","Utility.Consumer_N","Utility.Consumer_S","CO2.Concentration","Cost.S.Damage","policy.status","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","Budget.function.N","Budget.function.S","Run.ID","Policy.Duration","Budget.N","Budget.S"
2112,1235.56652328551,428.03982550547,473.665445851064,101.887279304851,811.531725216153,0.491523278081145,12.4948849037878,0.925897848916124,1.02188996396715,1181.58570685553,7.83745799357275,1156.27489115209,0.999400784052547,0.0741021510838758,2.0790265884385,94.5655535008038,0.418168877580554,45.4854950036158,0.000599215947452825,1276.15126035634,0.357169474860107,38.8848421274758,3.89971127409216,1.00716701595434,1866.95243805739,12.3834955216347,1853.66717583415,0.999994822509671,0.100288725907843,2.81985748179858,48.0123445515603,0.212310587607,17.0265145885801,5.17749032924453e-06,1914.96478260895,2.5972380961384,0.6,0.6,0.35,0.35,1,4,1137.17838810353,426.60627944571,0.904071626945703,0.902720787035165,486.684274783847,0.981161919324031,0,9.9,0,0,0,0,0,0,0,0,0.826602585340075,0,0,3003,45,271.744659361755,224.654049914884
2117,1351.87586248408,428.045889780272,521.404540311628,101.887312414559,816.068719414033,0.462776030547,15.4807735733278,0.939323236524626,1.01776089883068,1303.65737073322,8.64715934007343,1280.90730566581,0.999745199948402,0.0606767634753738,2.19925154210708,84.2113841765197,0.37238274082857,38.290928783816,0.000254800051597615,1387.86875490974,0.334914036570998,48.8794239609721,3.91980661197832,1.00571213856275,2061.25407518988,13.6722982807345,2049.54677999173,0.999998609466593,0.0801933880216776,3.0028963517316,42.170179354726,0.186476533106598,14.0431684664737,1.39053340741935e-06,2103.42425454461,2.5504358092519,0.6,0.6,0.35,0.35,1,4,1236.72984750007,468.590338306175,0.89963036673047,0.898415034412219,482.147280585967,0.98197119701115,0,9.9,0,0,0,0,0,0,0,0,0.940504472555294,0,0,3003,45,271.744659361755,224.654049914884
2122,1479.16550381508,428.048399325874,573.455161210157,101.887320959286,821.031623245576,0.435701436684021,19.1815520411466,0.950449797024472,1.01439574001671,1436.18621284349,9.52622314979087,1415.80465708564,0.999898477988248,0.0495502029755283,2.32819002787078,74.8733058598548,0.331089758512278,32.159447881636,0.000101522011751731,1511.05951870334,0.314228703618653,61.3155349193919,3.93581054860278,1.00456029245362,2272.39024571569,15.0727644998322,2262.07452433286,0.999999664915427,0.0641894513972188,3.19690811464744,37.0605956337668,0.163881953892517,11.5926371058224,3.35084572755662e-07,2309.45084134945,2.49873290852211,0.6,0.6,0.35,0.35,1,4,1346.50513711655,514.487911181625,0.895206416141482,0.89411165536393,477.184376754424,0.982836725919475,0,9.9,0,0,0,0,0,0,0,0,0.998122298717537,0,0,3003,45,271.744659361755,224.654049914884
2127,1618.45541949033,428.049369857396,630.235109021445,101.887322927923,826.031459064794,0.410207305858772,23.767752438175,0.959624919439251,1.01165852988675,1580.21293743796,10.481552414026,1562.00228709075,0.99996236555325,0.0403750805607488,2.46621285247183,66.4855855238492,0.293999259186461,26.9585755573417,3.7634446750201e-05,1646.69852296181,0.294967226083301,76.7801709311534,3.94857301093436,1.00364603631054,2502.08368568407,16.5963210871425,2492.99413853303,0.99999992840343,0.0514269890656395,3.40256797216887,32.5876284897519,0.144102493181683,9.57736296711799,7.15965702280386e-08,2534.67131417382,2.44609862672396,0.6,0.6,0.35,0.35,1,4,1467.37305381127,564.661402015074,0.890799799039169,0.889812510381763,472.184540935206,0.983687943928967,0,9.9,0,0,0,0,0,0,0,0,1.00000000000001,0,0,3003,45,271.744659361755,224.654049914884
2132,1770.86859482894,428.049718078925,692.200302088493,101.887323328333,831.031459064794,0.386203565644405,29.4508516384862,0.967160195981641,1.00943549158243,1736.88941771347,11.5207875076934,1720.65419949784,0.999987122244507,0.0328398040183586,2.61373944048943,58.9758638912741,0.260791270127214,22.563788485447,1.28777554934123e-05,1795.86528160474,0.277003468396626,96.0008476030365,3.95876324693193,1.00291875919681,2752.20323017518,18.255364025752,2744.19358989685,0.999999986607779,0.041236753068071,3.62060000548723,28.6685305275173,0.126772241992681,7.91817115507606,1.33922213318982e-08,2780.8717607027,2.39290228155618,0.6,0.6,0.35,0.35,1,4,1600.29555243798,619.508706490543,0.886410646272352,0.885519366867955,467.184540935206,0.984518432440413,0,9.9,0,0,0,0,0,0,0,0,1.00000000000004,0,0,3003,45,271.744659361755,224.654049914884
2137,1937.63753779034,428.049833069964,759.848705033303,101.887323399437,836.031459064794,0.363603957116784,36.4930039286987,0.973328357420981,1.00763222908829,1907.48156209234,12.6523252013585,1893.03349677316,0.999995967775032,0.0266716425790188,2.77123559676953,52.2697875411749,0.231137000507075,18.8615459479903,4.03222496814237e-06,1959.75134963352,0.260227582538957,119.879241172536,3.96690912383963,1.00233911088584,3024.78020356409,20.0633670902406,3017.72141854352,0.999999997837048,0.033090876160371,3.85177889717279,25.2318931449581,0.111575431487005,6.55071171491134,2.16295248378628e-09,3050.01209670904,2.33913353337591,0.6,0.6,0.35,0.35,1,4,1746.33442765843,679.466444844357,0.882039124472068,0.881233793049626,462.184540935206,0.98532822232105,0,9.9,0,0,0,0,0,0,0,0,1.00000000000003,0,0,3003,45,271.744659361755,224.654049914884
2142,2120.11272396619,428.049867704947,833.724487361249,101.887323410285,841.031459064794,0.342326663967364,45.2191155360602,0.978363930412736,1.00617090034965,2093.37520762591,13.8853577521827,2080.53642467542,0.999998855619007,0.0216360695872641,2.93921276446516,46.2940325747093,0.204712212045364,15.750487046872,1.14438099296787e-06,2139.66924020062,0.244543086506606,149.532868748424,3.97342773021429,1.00187635408966,3322.02571701529,22.0349965809624,3315.80409444218,0.999999999702842,0.0265722697857101,4.09693182662349,22.216023438996,0.0982392556472402,5.42260022356912,2.97157964901373e-10,3344.24174045428,2.28477992973563,0.6,0.6,0.35,0.35,1,4,1906.65925994277,745.013453729702,0.877685415727042,0.876957170159438,457.184540935206,0.986117359360921,0,9.9,0,0,0,0,0,0,0,0,1.00000000000004,0,0,3003,45,271.744659361755,224.654049914884
2147,2319.77269045146,428.049877114462,914.422488837988,101.887323411635,846.031459064794,0.322294425107663,56.0318202311633,0.982465928740363,1.00498760018072,2296.08446399288,15.2299282496647,2284.68934699293,0.999999708644841,0.0175340712596366,3.11822830892901,40.9782237043204,0.181205705220505,13.1415084607435,2.91355159220963e-07,2337.06268769719,0.229864593362905,186.346728998831,3.9786492135658,1.00150638129924,3646.34914936174,24.1862339077164,3640.86461898663,0.999999999965831,0.0213507864342001,4.35694060858727,19.5675511394923,0.0865277111388351,4.4911218438291,3.41688899396786e-11,3665.91670050123,2.22982860736644,0.6,0.6,0.35,0.35,1,4,2082.55656100697,816.674592954162,0.87334970645979,0.872690714721095,452.184540935206,0.986885875955907,0,9.9,0,0,0,0,0,0,0,0,0.999999999999991,0,0,3003,45,271.744659361755,224.654049914884
2152,2538.23558740888,428.049879402878,1002.59305806649,101.887323411777,851.031459064794,0.303434418810072,69.4300471200913,0.985801514539741,1.00403004321966,2517.2621001072,16.6969995100111,2507.15814442664,0.999999934201918,0.0141984854602594,3.30888647094484,36.256090907632,0.160324433993549,10.9571879319508,6.57980824270155e-08,2553.51819101483,0.216116018693129,232.03728601807,3.98283536481072,1.00121021688945,4000.37806342836,26.5345076947203,3995.54259030305,0.999999999996769,0.0171646351892797,4.6327441294905,17.2402381189583,0.0762363329620337,3.72138793705716,3.23086002396167e-12,4017.61830154732,2.17426627390567,0.6,0.6,0.35,0.35,1,4,2275.44006001332,895.024917127205,0.869032179604932,0.868435498340564,447.184540935206,0.987633791054678,0,9.9,0,0,0,0,0,0,0,0,0.999999999999957,0,0,3003,45,271.744659361755,224.654049914884
2157,2777.27209761254,428.049879896102,1098.94732410663,101.88732341179,856.031459064794,0.28567805840985,86.0320366893804,0.988509978186894,1.0032555649518,2758.71172308309,18.2985348592102,2749.75970177214,0.999999986979471,0.0114900218131057,3.51183976304007,32.0660980402388,0.141796285533936,9.13085453889853,1.30205287662832e-08,2790.77782112333,0.203229147770795,288.731750649874,3.98619412614935,1.00097287740095,4386.97979300887,29.0988369670278,4382.71594770857,0.999999999999754,0.0138058738506495,4.92534111558574,15.1939638890933,0.0671877083175705,3.08485514658336,2.46358489164322e-13,4402.17375689796,2.11807918859699,0.6,0.6,0.35,0.35,1,4,2486.862116403,980.694258692943,0.864733009257986,0.864192465131166,442.184540935206,0.98836111007596,0,9.9,0,0,0,0,0,0,0,0,1.00000000000002,0,0,3003,45,271.744659361755,224.654049914884
